year,plant_id,plant_name_gen,operator_name_gen,operator_id_gen,net_generation_mwh,plant_name_cap,operator_name_cap,operator_id_cap,state,nameplate_mw,summer_mw,capacity_mwh,capacity_utilization,minimum_year
2015,293,A G Wishon,Pacific Gas & Electric Co,14328,2590,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.014783105,1910
2001,10632,A W Hoch,CalEnergy Operation Corporation,49899,318300,A W Hoch,Del Ranch Ltd Partnership,5008,CA,35.8,34,297840,1.068694601,1988
2002,10632,A W Hoch,CalEnergy Operation Corporation,49899,355424,A W Hoch,Del Ranch Ltd Partnership,5008,CA,35.8,34,297840,1.193338705,1988
2003,10632,A W Hoch,CalEnergy Operation Corporation,49899,333120,A W Hoch,CalEnergy Operation Corporation,49899,CA,35.8,34,297840,1.118452861,1988
2004,10632,A W Hoch,CalEnergy Operation Corporation,49899,321886,A W Hoch,CalEnergy Operation Corporation,49899,CA,35.8,34,297840,1.080734623,1988
2005,10632,A W Hoch,CalEnergy Operation Corporation,49899,345902,A W Hoch,CalEnergy Operation Corporation,49899,CA,35.8,34,297840,1.16136852,1988
2006,10632,A W Hoch,CalEnergy Operation Corporation,49899,320203,A W Hoch,CalEnergy Operation Corporation,49899,CA,35.8,34,297840,1.075083938,1988
2007,10632,A W Hoch,CalEnergy Operation Corporation,49899,328732,A W Hoch,CalEnergy Operation Corporation,49899,CA,35.8,34,297840,1.103720118,1988
2008,10632,A W Hoch,CalEnergy Operation Corporation,49899,322000,A W Hoch,CalEnergy Operation Corporation,49899,CA,35.8,34,297840,1.081117378,1988
2009,10632,A W Hoch,CalEnergy Operation Corporation,49899,350000,A W Hoch,CalEnergy Operation Corporation,49899,CA,35.8,34,297840,1.175127585,1988
2010,10632,A W Hoch,CalEnergy Operation Corporation,49899,350000,A W Hoch,CalEnergy Operation Corporation,49899,CA,49,34,297840,1.175127585,1988
2013,58699,ABEC Bidart-Old River LLC,ABEC Bidart-Old River LLC,58628,13,ABEC Bidart-Old River LLC,ABEC Bidart-Old River LLC,58628,CA,2,1.8,15768,0.000824455,2013
2014,58699,ABEC Bidart-Old River LLC,ABEC Bidart-Old River LLC,58628,8013,ABEC Bidart-Old River LLC,ABEC Bidart-Old River LLC,58628,CA,2,1.8,15768,0.508181126,2013
2015,58699,ABEC Bidart-Old River LLC,ABEC Bidart-Old River LLC,58628,10198,ABEC Bidart-Old River LLC,ABEC Bidart-Old River LLC,58628,CA,2,1.8,15768,0.646752917,2013
2001,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,676535,ACE Cogen,ACE Cogeneration Co,52,CA,108,101.2,886512,0.763142518,
2002,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,747408,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.843088418,
2003,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,835327,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.942262485,
2004,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,719109.13,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.811166831,
2005,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,740371.135,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.83515072,
2006,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,795469.306,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.897302356,
2007,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,838936.327,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.946333865,
2008,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,752466,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.848793925,
2009,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,783300,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.88357518,
2010,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,783630,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.883947425,
2011,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,779658.004,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.879466949,
2012,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,555435.996,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.626540866,
2013,10002,ACE Cogeneration Facility,ACE Cogeneration Co,52,320201.003,ACE Cogeneration Facility,ACE Cogeneration Co,52,CA,108,101.2,886512,0.361191956,
2015,59440,"Adelanto Solar II, LLC","Adelanto Solar II, LLC",59212,10227,"Adelanto Solar II, LLC","Adelanto Solar II, LLC",59212,CA,7,7,61320,0.166780822,2015
2012,57305,Adelanto Solar Project,Los Angeles Department of Water & Power,11208,20500,Adelanto Solar Project,Los Angeles Department of Water & Power,11208,CA,10,10,87600,0.234018265,2012
2013,57305,Adelanto Solar Project,Los Angeles Department of Water & Power,11208,21154,Adelanto Solar Project,Los Angeles Department of Water & Power,11208,CA,10,10,87600,0.241484018,2012
2014,57305,Adelanto Solar Project,Los Angeles Department of Water & Power,11208,19937,Adelanto Solar Project,Los Angeles Department of Water & Power,11208,CA,10,10,87600,0.227591324,2012
2015,57305,Adelanto Solar Project,Los Angeles Department of Water & Power,11208,18180,Adelanto Solar Project,Los Angeles Department of Water & Power,11208,CA,10,10,87600,0.207534247,2012
2015,59441,"Adelanto Solar, LLC","Adelanto Solar, LLC",59211,14034,"Adelanto Solar, LLC","Adelanto Solar, LLC",59211,CA,20,20,175200,0.08010274,2015
2015,60027,Adera Solar,"Sustainable Power Group, LLC",58661,1172,Adera Solar,"Sustainable Power Group, LLC",58661,CA,20,20,175200,0.006689498,2015
2011,57811,Adobe San Jose,Bloom Energy,57128,632,Adobe San Jose,Bloom Energy,57128,CA,1.2,1.2,10512,0.060121766,2010
2012,57811,Adobe San Jose,Bloom Energy,57128,9156,Adobe San Jose,Bloom Energy,57128,CA,1.2,1.2,10512,0.871004566,2010
2013,57811,Adobe San Jose,Bloom Energy,57128,7696.26,Adobe San Jose,Bloom Energy,57128,CA,1.2,1.2,10512,0.732140411,2010
2014,57811,Adobe San Jose,Bloom Energy,57128,7657,Adobe San Jose,Bloom Energy,57128,CA,1.2,1.2,10512,0.728405632,2010
2015,57811,Adobe San Jose,Bloom Energy,57128,6370,Adobe San Jose,Bloom Energy,57128,CA,1.2,1.2,10512,0.605974125,2010
2001,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,49010.999,AERA San Ardo Cogen,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.999082661,1989
2002,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,51996,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,1.059931507,1989
2003,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,50109.359,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,1.021472582,1989
2004,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,50963.92,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,1.038892694,1989
2005,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,49455.702,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,1.008147872,1989
2006,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,47848.501,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.975385294,1989
2007,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,46833,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.954684442,1989
2008,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,45526,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.928041422,1989
2009,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,40192,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.819308545,1989
2010,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,45980,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.937296151,1989
2011,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,48643,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.99158105,1989
2012,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,44307,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.90319227,1989
2013,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,49075,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,1.000387312,1989
2014,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,50072,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,1.020711024,1989
2015,55184,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,41263,Aera San Ardo Cogen Facility,Aera Energy LLC-San Ardo,24536,CA,6.2,5.6,49056,0.841140737,1989
2001,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,4773.581,South Belridge Cogen,Aero Energy LLC-South Belridge,24540,CA,9,8.1,70956,0.067275227,
2002,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,8165.999,Aera South Belridge Cogen Facility,AERA Energy LLC,164,CA,9,8.1,70956,0.115085391,
2003,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,8329.999,Aera South Belridge Cogen Facility,AERA Energy LLC,164,CA,9,8.1,70956,0.117396682,
2004,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,7041.299,Aera South Belridge Cogen Facility,AERA Energy LLC,164,CA,9,8.1,70956,0.099234723,
2005,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,13003.622,Aera South Belridge Cogen Facility,AERA Energy LLC,164,CA,9,8.1,70956,0.183263177,
2006,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,6378.82,Aera South Belridge Cogen Facility,AERA Energy LLC,164,CA,9,8.1,70956,0.089898247,
2007,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,0,Aera South Belridge Cogen Facility,AERA Energy LLC,164,CA,9,8.1,70956,0,
2008,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,0,Aera South Belridge Cogen Facility,AERA Energy LLC,164,CA,9,8.1,70956,0,
2009,55185,Aera South Belridge Cogen Facility,AERA Energy LLC,164,0,Aera South Belridge Cogen Facility,AERA Energy LLC,164,CA,9,8.1,70956,0,
2011,57697,Aerojet I,Solar Power Inc.,57022,6514,Aerojet I,Solar Power Inc.,57022,CA,3,3,26280,0.247869102,2009
2012,57697,Aerojet I,Solar Power Inc.,57022,6849,Aerojet I,Solar Power Inc.,57022,CA,3,3,26280,0.260616438,2009
2013,57697,Aerojet I,Solar Power Inc.,57022,7109,Aerojet I,Solar Power Inc.,57022,CA,3,3,26280,0.270509893,2009
2014,57697,Aerojet I,Solar Power Inc.,57022,6380,Aerojet I,Solar Power Inc.,57022,CA,3,3,26280,0.242770167,2009
2015,57697,Aerojet I,Solar Power Inc.,57022,6363,Aerojet I,Solar Power Inc.,57022,CA,3,3,26280,0.242123288,2009
2011,57698,Aerojet II,Solar Power Inc.,57022,4361,Aerojet II,Solar Power Inc.,57022,CA,2.7,2.7,23652,0.18438187,2010
2012,57698,Aerojet II,Solar Power Inc.,57022,4569,Aerojet II,Solar Power Inc.,57022,CA,2.7,2.7,23652,0.193176053,2010
2013,57698,Aerojet II,Solar Power Inc.,57022,4743,Aerojet II,Solar Power Inc.,57022,CA,2.7,2.7,23652,0.200532725,2010
2014,57698,Aerojet II,Solar Power Inc.,57022,4230,Aerojet II,Solar Power Inc.,57022,CA,2.7,2.7,23652,0.178843227,2010
2015,57698,Aerojet II,Solar Power Inc.,57022,3945,Aerojet II,Solar Power Inc.,57022,CA,2.7,2.7,23652,0.166793506,2010
2004,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,5586.001,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.135674755,1989
2005,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,6,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.00014573,1989
2006,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,5.999,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.000145706,1989
2007,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,7057,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.171402895,1989
2008,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,7335,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.178155057,1989
2009,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,7835,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.190299232,1989
2010,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,7257,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.176260565,1989
2011,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,7005,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.170139901,1989
2012,56214,Aeroturbine,Energy Unlimited Inc,28086,5583,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.135601865,1989
2013,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,6954,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.168901195,1989
2014,56214,Aeroturbine,Aeroturbine Energy Corporation,34437,5448,Aeroturbine,Aeroturbine Energy Corporation,34437,CA,4.7,4.7,41172,0.132322938,1989
2001,315,AES Alamitos LLC,AES Alamitos LLC,22148,8525939,AES Alamitos LLC,AES Alamitos LLC,22148,CA,2083,2083,18247080,0.4672495,1956
2002,315,AES Alamitos LLC,AES Alamitos LLC,22148,4101417.16,AES Alamitos LLC,AES Alamitos LLC,22148,CA,2083,2083,18247080,0.22477115,1956
2003,315,AES Alamitos LLC,AES Alamitos LLC,22148,3538325,AES Alamitos LLC,AES Alamitos LLC,22148,CA,2083,2120,18571200,0.190527537,1956
2004,315,AES Alamitos LLC,AES Alamitos LLC,22148,2954395,AES Alamitos LLC,AES Alamitos LLC,22148,CA,2025,2130,18658800,0.158337889,1956
2005,315,AES Alamitos LLC,AES Alamitos LLC,22148,1311102,AES Alamitos LLC,AES Alamitos LLC,22148,CA,2055,2130,18658800,0.07026722,1956
2006,315,AES Alamitos LLC,AES Alamitos LLC,22148,1792357,AES Alamitos LLC,AES Alamitos LLC,22148,CA,2055,2130,18658800,0.096059607,1956
2007,315,AES Alamitos LLC,AES Alamitos LLC,22148,1476333,AES Alamitos LLC,AES Alamitos LLC,22148,CA,2055,2130,18658800,0.079122612,1956
2008,315,AES Alamitos LLC,AES Alamitos LLC,22148,2534359,AES Alamitos LLC,AES Alamitos LLC,22148,CA,2055,2130,18658800,0.135826473,1956
2009,315,AES Alamitos LLC,AES Alamitos LLC,22148,1718183,AES Alamitos LLC,AES Alamitos LLC,22148,CA,1922,1997,17493720,0.098217132,1956
2010,315,AES Alamitos LLC,AES Alamitos LLC,22148,881390,AES Alamitos LLC,AES Alamitos LLC,22148,CA,1922,1997,17493720,0.050383223,1956
2011,315,AES Alamitos LLC,AES Alamitos LLC,22148,1025357,AES Alamitos LLC,AES Alamitos LLC,22148,CA,1922,1997,17493720,0.058612862,1956
2012,315,AES Alamitos LLC,AES Alamitos LLC,22148,1464747,AES Alamitos LLC,AES Alamitos LLC,22148,CA,1922,1997,17493720,0.083729876,1956
2013,315,AES Alamitos LLC,AES Alamitos LLC,22148,1528931,AES Alamitos LLC,AES Alamitos LLC,22148,CA,1922,1997,17493720,0.087398849,1956
2014,315,AES Alamitos LLC,AES Alamitos LLC,22148,1369722,AES Alamitos LLC,AES Alamitos LLC,22148,CA,1922,1997,17493720,0.078297926,1956
2015,315,AES Alamitos LLC,AES Alamitos LLC,22148,1052825,AES Alamitos LLC,AES Alamitos LLC,22148,CA,1922,1997,17493720,0.060183026,1956
2001,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1381123,Huntington Beach,AES Huntington Beach LLC,23693,CA,563,563,4931880,0.280039863,1958
2002,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1357439.96,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,569,563,4931880,0.275237832,1958
2003,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1387585,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,1021,983.4,8614584,0.161073942,1958
2004,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1486025,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,1021,1036.6,9080616,0.163648039,1958
2005,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1554597,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,1021,1036.6,9080616,0.171199509,1958
2006,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1014106,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,1021,1036.6,9080616,0.111678106,1958
2007,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1270185.999,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,1021,1036.6,9080616,0.139878836,1958
2008,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1536049,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,1021,1036.6,9080616,0.169156916,1958
2009,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,1046281,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,888,903.6,7915536,0.132180689,1958
2010,335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,931672,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,888,903.6,7915536,0.117701694,1958
